,input_rate,output_rate,firewall_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,firewall_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,firewall_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,firewall_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,firewall_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,firewall_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,firewall_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,firewall_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,firewall_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,firewall_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,firewall_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,firewall_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads
0,437.48591308798,408.28909435443,10074563850.0,10238611301.0,10075448697.0,10174859407.0,10171485710.0,1953638567.0,2032783899.0,1986191417.0,1977564832.0,2010308215.0,7972551.0,8222359.0,7887491.0,7883070.0,7706291.0,7968594.0,8044968.0,7888567.0,7884482.0,7705989.0,4960.0,4100.0,4792.0,4457.0,3699.0,9133820.0,8075911.0,9352734.0,9511735.0,6954383.0,2892934303.0,2892932105.0,2892507497.0,2892970225.0,2893022518.0,9792280.0,9000333.0,9858222.0,10328219.0,7234043.0,3082677793.0,3173372491.0,3079602895.0,3124893722.0,3118760638.0,1639.0,1113.0,1851.0,1401.0,1050.0,3129518.0,3140326.0,3213092.0,3475961.0,3083462.0,5853869.0,5204214.0,6180457.0,5916429.0,3919332.0
1,1946.264199661,2087.5549126669,10037581244.0,10234237873.0,10035213626.0,10177527357.0,10160545558.0,1964290940.0,2025162224.0,1971102160.0,1993991858.0,2000738013.0,7885990.0,8235261.0,7911300.0,7804613.0,7738814.0,7888447.0,8100789.0,7912993.0,7808134.0,7739032.0,2131.0,1330.0,2171.0,1675.0,1190.0,9191497.0,8359882.0,9387551.0,9563762.0,7011981.0,2891881521.0,2892181914.0,2891634316.0,2891959829.0,2891828940.0,9898075.0,9080972.0,9932940.0,10434274.0,7282775.0,3055852448.0,3146743192.0,3050065012.0,3101308221.0,3093999726.0,2246.0,729.0,2278.0,1993.0,1195.0,3161305.0,3107150.0,3219739.0,3510501.0,3086714.0,6012816.0,5212967.0,6206062.0,6045314.0,3952240.0
2,2112.9902884557,2109.8258669233,10028599109.0,10114521045.0,10013467389.0,10171628353.0,10140796339.0,1960454037.0,2006851391.0,1968239627.0,1990380847.0,1997822083.0,7763584.0,8192031.0,8097058.0,7746299.0,7721698.0,7765563.0,8314539.0,8042757.0,7747212.0,7668413.0,2573.0,1756.0,2617.0,2006.0,2328.0,9110995.0,8320402.0,9327502.0,9496228.0,6945552.0,2891993093.0,2891924217.0,2891653172.0,2891925519.0,2891690391.0,9916301.0,9036891.0,9859582.0,10401956.0,7224334.0,3058085485.0,3151137712.0,3052484483.0,3102234886.0,3096139576.0,2026.0,650.0,1463.0,1375.0,825.0,3129528.0,3116613.0,3233512.0,3480230.0,3102540.0,5969623.0,5236243.0,6153602.0,5996244.0,3924024.0
3,2113.2414967401,2110.1228867559,10012825065.0,10070955841.0,9194822275.0,10166139229.0,9937670032.0,1974080619.0,1999396218.0,1817389009.0,2006694753.0,1967681983.0,7661531.0,8011975.0,7409465.0,7804565.0,7811806.0,7663896.0,8013584.0,7439193.0,7810557.0,7910218.0,1941.0,1330.0,1931.0,1605.0,1210.0,9159579.0,8442059.0,9459344.0,9569195.0,7075528.0,2891852638.0,2891873502.0,2579382495.0,2891860606.0,2891941218.0,9882826.0,9146786.0,9915294.0,10441159.0,7295563.0,3075445543.0,3148303679.0,2787275601.0,3123003607.0,3114247539.0,3324.0,1644.0,3926.0,3251.0,2025.0,3142944.0,3091886.0,3247627.0,3494601.0,3112586.0,6041656.0,5254580.0,6169455.0,6074866.0,3952247.0
4,2113.282442186,2111.0269473521,10017033164.0,10222662100.0,9924642604.0,10158165744.0,10048481907.0,1974355535.0,2023175927.0,1954416087.0,2004613154.0,1983006805.0,7901415.0,8102150.0,8071758.0,7751686.0,7730965.0,7903201.0,8099809.0,7862188.0,7747071.0,7685312.0,2946.0,1617.0,3199.0,2336.0,1730.0,9176774.0,8441536.0,9481127.0,9552297.0,7053572.0,2891756462.0,2891830476.0,2891270637.0,2891742463.0,2891729539.0,9855292.0,9151861.0,9932683.0,10383737.0,7270855.0,3029612765.0,3144742238.0,3025808908.0,3073266020.0,3066935499.0,2314.0,883.0,2083.0,2158.0,899.0,3170809.0,3090067.0,3180642.0,3519051.0,3047740.0,5990597.0,5145304.0,6210664.0,6016826.0,3954903.0
5,2113.2708929331,2110.7162670466,9883830494.0,10084701108.0,9784820038.0,10028273403.0,9906982863.0,1955844446.0,2003010802.0,1934659988.0,1986435102.0,1962982508.0,7648438.0,8034649.0,7841581.0,7787808.0,7664306.0,7605407.0,8036240.0,7894902.0,7743741.0,7716781.0,3162.0,2584.0,3360.0,3228.0,1974.0,9166837.0,8369948.0,9413748.0,9535868.0,7008071.0,2891687520.0,2891919208.0,2891368977.0,2891668692.0,2891831336.0,9972204.0,9086247.0,9941860.0,10475924.0,7296329.0,3075054384.0,3169070875.0,3071708287.0,3121538452.0,3110878912.0,2113.0,575.0,1488.0,1875.0,638.0,3123375.0,3105067.0,3183459.0,3463234.0,3052179.0,6009418.0,5149433.0,6131213.0,6053514.0,3903776.0
6,2113.0983147831,2111.0969527262,9914725428.0,10228879815.0,9928147579.0,10069364396.0,10049424085.0,1960016284.0,2023628988.0,1955151927.0,1992652020.0,1983979428.0,7784667.0,8103149.0,7905096.0,7801787.0,7728147.0,7656088.0,8103289.0,7903912.0,7800057.0,7727461.0,2171.0,1185.0,2211.0,1706.0,1175.0,9207401.0,8465093.0,9519556.0,9582051.0,7101072.0,2891883556.0,2891916011.0,2891698938.0,2891942534.0,2891950000.0,9880144.0,9151068.0,9904402.0,10400608.0,7271038.0,3052951214.0,3150876926.0,3052205098.0,3100229576.0,3093800576.0,1609.0,653.0,1473.0,1417.0,583.0,3133678.0,3094341.0,3157925.0,3475346.0,3026516.0,5996218.0,5106519.0,6199404.0,6031626.0,3915490.0
7,2112.9514529502,2109.7480562475,9867420031.0,10102357729.0,9831680268.0,9962582486.0,9954705393.0,1953879724.0,2005900733.0,1942926678.0,1976415697.0,1972707342.0,7617344.0,8000674.0,8177584.0,7736832.0,7895027.0,7667047.0,8003280.0,8178464.0,7796046.0,7900694.0,7991.0,4007.0,4365.0,4418.0,2146.0,8610257.0,7881414.0,8954245.0,9000011.0,6572644.0,2891661335.0,2891758823.0,2890745807.0,2891743904.0,2891771038.0,9387875.0,8591299.0,9546056.0,9923767.0,6957576.0,3066556516.0,3163276522.0,3054255431.0,3092594452.0,3094537696.0,7103.0,2601.0,3376.0,2939.0,1100.0,2990398.0,2986810.0,3048822.0,3295996.0,2919966.0,5761275.0,4956372.0,5976776.0,5851501.0,3736673.0
8,2113.2252363075,2111.8324948726,9879940989.0,10328404647.0,9825793849.0,9964023605.0,9948579717.0,1958649142.0,2008650603.0,1943122308.0,1977853274.0,1972957003.0,7652226.0,8032219.0,7902519.0,7754952.0,7690716.0,7657567.0,8035709.0,7908724.0,7761515.0,7694296.0,4257.0,2871.0,5051.0,2396.0,1665.0,8845897.0,8079985.0,9130407.0,9247116.0,6765705.0,2891823969.0,2891807169.0,2891192348.0,2891875458.0,2891836614.0,9685221.0,8815825.0,9665960.0,10189748.0,7077779.0,3085840023.0,3171105478.0,3079181052.0,3116865995.0,3114506034.0,1963.0,988.0,2176.0,1626.0,2151.0,3020095.0,3109536.0,3083343.0,3335653.0,2955483.0,5983977.0,4991839.0,6000119.0,6070921.0,3778084.0
9,2113.4231789078,2109.9842703059,9319706671.0,10335996374.0,9890331162.0,9346455140.0,10024289718.0,1843111971.0,2024786820.0,1947817802.0,1833498576.0,1978121246.0,7235567.0,8102163.0,7888236.0,7372434.0,7705331.0,7235895.0,8098978.0,7889346.0,7296638.0,7704369.0,1982.0,2391.0,2038.0,1932.0,1705.0,9132330.0,8401053.0,9369303.0,9501091.0,6998062.0,2800358653.0,2891891344.0,2891486128.0,2653950769.0,2891643035.0,9933242.0,9079634.0,9895628.0,10413754.0,7266967.0,3050900148.0,3147998381.0,3071098280.0,2912346456.0,3105706476.0,1153.0,1729.0,1292.0,1070.0,375.0,3051053.0,3153001.0,3236034.0,3380237.0,3106699.0,5870564.0,5228527.0,6062990.0,5922749.0,3844389.0
